"treatment","N_load","estimate","std.error","p.value","r.squared","adj.r.squared"
"Drought","N 10",0.999,0.389,0.043,0.523,0.444
"Drought","N 20",0.815,0.3,0.035,0.551,0.477
"Drought","N 50",0.85,0.53,0.16,0.3,0.183
"Recovery","N 10",0.134,0.225,0.574,0.056,-0.102
"Recovery","N 20",0.293,0.309,0.379,0.131,-0.014
"Recovery","N 50",0.816,0.131,0.001,0.867,0.845
